FIPS,State,County,PCH_LACCESS_POP_10_15
1001,AL,Autauga,-5.06
1003,AL,Baldwin,-13.2
1005,AL,Barbour,6.07
1007,AL,Bibb,-7.22
1009,AL,Blount,140.57
1011,AL,Bullock,1.27
1013,AL,Butler,-0.27
1015,AL,Calhoun,-10.08
1017,AL,Chambers,5.68
1019,AL,Cherokee,30.36
1021,AL,Chilton,0.91
1023,AL,Choctaw,3.47
1025,AL,Clarke,12.89
1027,AL,Clay,-13.47
1029,AL,Cleburne,437.6
1031,AL,Coffee,-7.98
1033,AL,Colbert,16.56
1035,AL,Conecuh,-4.49
1037,AL,Coosa,-0.29
1039,AL,Covington,13.05
1041,AL,Crenshaw,-1.95
1043,AL,Cullman,-6.28
1045,AL,Dale,1.37
1047,AL,Dallas,-1.87
1049,AL,DeKalb,0
1051,AL,Elmore,0.35
1053,AL,Escambia,-2.5
1055,AL,Etowah,-6.01
1057,AL,Fayette,-6.89
1059,AL,Franklin,19.18
1061,AL,Geneva,-0.13
1063,AL,Greene,-9.84
1067,AL,Henry,108.5
1069,AL,Houston,-14.31
1071,AL,Jackson,-13.1
1073,AL,Jefferson,-1.72
1075,AL,Lamar,148.92
1077,AL,Lauderdale,-14.45
1079,AL,Lawrence,22.14
1081,AL,Lee,-15.89
1083,AL,Limestone,-7.87
1085,AL,Lowndes,-53.84
1087,AL,Macon,7.26
1089,AL,Madison,-19.54
1091,AL,Marengo,-8.27
1093,AL,Marion,258.57
1095,AL,Marshall,-18.18
1097,AL,Mobile,-7.98
1099,AL,Monroe,-20.11
1101,AL,Montgomery,2.99
1103,AL,Morgan,10.74
1105,AL,Perry,-9.27
1107,AL,Pickens,-37.85
1109,AL,Pike,21.5
1111,AL,Randolph,218.04
1113,AL,Russell,-26.86
1115,AL,St. Clair,21.85
1117,AL,Shelby,-9.4
1119,AL,Sumter,3.63
1121,AL,Talladega,-10.64
1123,AL,Tallapoosa,-24.21
1125,AL,Tuscaloosa,-11.7
1127,AL,Walker,4.37
1129,AL,Washington,-13.43
1131,AL,Wilcox,-3.4
1133,AL,Winston,44.28
2013,AK,Aleutians East,79.68
2016,AK,Aleutians West,62.62
2020,AK,Anchorage,-9.02
2050,AK,Bethel,-13.32
2060,AK,Bristol Bay,129.65
2068,AK,Denali,0
2070,AK,Dillingham,55.93
2090,AK,Fairbanks North Star,-7.27
2100,AK,Haines,-0.07
2105,AK,Hoonah-Angoon,26.08
2110,AK,Juneau,-0.74
2122,AK,Kenai Peninsula,-3.55
2130,AK,Ketchikan Gateway,2.56
2150,AK,Kodiak Island,37.65
2164,AK,Lake and Peninsula,-0.14
2170,AK,Matanuska-Susitna,12.6
2180,AK,Nome,4.14
2185,AK,North Slope,52.18
2188,AK,Northwest Arctic,-0.01
2195,AK,Petersburg,-1.7
2198,AK,Prince of Wales-Hyder,26.48
2220,AK,Sitka,0.92
2230,AK,Skagway,0
2240,AK,Southeast Fairbanks,62.63
2261,AK,Valdez-Cordova,86.02
2270,AK,Wade Hampton,-6.86
2275,AK,Wrangell,0
2290,AK,Yukon-Koyukuk,0
4001,AZ,Apache,7.91
4003,AZ,Cochise,6.96
4005,AZ,Coconino,1.91
4007,AZ,Gila,36.22
4009,AZ,Graham,19.14
4011,AZ,Greenlee,-1.04
4012,AZ,La Paz,-0.35
4013,AZ,Maricopa,3.85
4015,AZ,Mohave,-0.04
4017,AZ,Navajo,16.41
4019,AZ,Pima,-5.91
4021,AZ,Pinal,23.89
4023,AZ,Santa Cruz,-3.59
4025,AZ,Yavapai,-2.35
4027,AZ,Yuma,-9.09
5001,AR,Arkansas,71.14
5003,AR,Ashley,6.73
5005,AR,Baxter,-7.27
5007,AR,Benton,-20.75
5009,AR,Boone,-24.05
5011,AR,Bradley,-1.17
5013,AR,Calhoun,-0.4
5015,AR,Carroll,-17.63
5019,AR,Clark,348.2
5021,AR,Clay,-1.78
5023,AR,Cleburne,-33.97
5025,AR,Cleveland,-13.63
5027,AR,Columbia,-3.84
5029,AR,Conway,-21.06
5031,AR,Craighead,-33.88
5033,AR,Crawford,-19.79
5035,AR,Crittenden,5.81
5037,AR,Cross,-19.14
5039,AR,Dallas,119.73
5041,AR,Desha,16.01
5043,AR,Drew,13.16
5045,AR,Faulkner,-34.09
5047,AR,Franklin,-37.67
5049,AR,Fulton,1
5051,AR,Garland,-10.39
5053,AR,Grant,-0.06
5055,AR,Greene,3.6
5057,AR,Hempstead,18.9
5059,AR,Hot Spring,-14.2
5061,AR,Howard,179.94
5063,AR,Independence,-18.75
5065,AR,Izard,-81.39
5067,AR,Jackson,25.19
5069,AR,Jefferson,10.58
5071,AR,Johnson,-35.2
5073,AR,Lafayette,0.14
5075,AR,Lawrence,18.79
5077,AR,Lee,44.17
5079,AR,Lincoln,-3.26
5081,AR,Little River,121.84
5083,AR,Logan,-32.66
