State_Ab,SmG2014,SmG2007
AL,56,45.1
AK,55,54
AZ,58,50
AR,55,45.8
CA,44,43.6
CO,52,51.9
CT,52,49.6
DE,47,49.1
DC,21,20.3
FL,47,46.9
GA,51,48.2
HI,50,42.8
ID,65,59.7
IL,51,46.9
IN,57,51.1
IA,57,49.1
KS,63,51.5
KY,54,47.2
LA,53,47.7
ME,60,57.1
MD,48,39.9
MA,47,44.8
MI,56,52.5
MN,58,51.2
MS,54,43.2
MO,61,50.2
MT,66,61.6
NE,66,56.7
NV,57,46.8
NH,64,52.9
NJ,44,47.9
NM,44,52.2
NY,41,42.6
NC,51,44.4
ND,67,45.5
OH,58,46.2
OK,59,54.2
OR,55,48.2
PA,56,48.2
RI,48,45.1
SC,54,47.7
SD,68,57.1
TN,57,50.1
TX,47,47.3
UT,66,59.4
VT,45,48.9
VA,56,46.6
WA,54,50.6
WV,58,44.3
WI,61,54.7
WY,71,51.2
