FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17
01001,AL,Autauga,11.4,13,33,36.3
01003,AL,Baldwin,9.8,10.4,33,36.3
01005,AL,Barbour,13.6,18.4,33,36.3
01007,AL,Bibb,11.1,14.8,33,36.3
01009,AL,Blount,11.4,14.1,33,36.3
01011,AL,Bullock,14.9,19.6,33,36.3
01013,AL,Butler,15.1,17.7,33,36.3
01015,AL,Calhoun,14.5,14.9,33,36.3
01017,AL,Chambers,16.1,16.4,33,36.3
01019,AL,Cherokee,13.6,13.3,33,36.3
01021,AL,Chilton,10.2,13.3,33,36.3
01023,AL,Choctaw,14.7,18.1,33,36.3
01025,AL,Clarke,14.1,16.3,33,36.3
01027,AL,Clay,13.2,14.6,33,36.3
01029,AL,Cleburne,11,12.6,33,36.3
01031,AL,Coffee,12.1,15.9,33,36.3
01033,AL,Colbert,13.5,18.7,33,36.3
01035,AL,Conecuh,14.5,17.4,33,36.3
01037,AL,Coosa,13.2,17.3,33,36.3
01039,AL,Covington,13.1,14.7,33,36.3
01041,AL,Crenshaw,12.6,16.5,33,36.3
01043,AL,Cullman,11.9,14.4,33,36.3
01045,AL,Dale,13.5,14.1,33,36.3
01047,AL,Dallas,15.6,19,33,36.3
01049,AL,DeKalb,11.2,13.4,33,36.3
01051,AL,Elmore,9.9,13.4,33,36.3
01053,AL,Escambia,12.3,17.8,33,36.3
01055,AL,Etowah,11.6,16.8,33,36.3
01057,AL,Fayette,12.7,15.1,33,36.3
01059,AL,Franklin,12.8,13.9,33,36.3
01061,AL,Geneva,12.6,13.9,33,36.3
01063,AL,Greene,18.2,21,33,36.3
01065,AL,Hale,15.1,16,33,36.3
01067,AL,Henry,13.5,18.7,33,36.3
01069,AL,Houston,12.4,13.7,33,36.3
01071,AL,Jackson,11.9,14.9,33,36.3
01073,AL,Jefferson,12,13,33,36.3
01075,AL,Lamar,12.7,14.9,33,36.3
01077,AL,Lauderdale,12.8,14.2,33,36.3
01079,AL,Lawrence,12.9,15.6,33,36.3
01081,AL,Lee,9.6,9.5,33,36.3
01083,AL,Limestone,10.4,12.6,33,36.3
01085,AL,Lowndes,17.1,23.5,33,36.3
01087,AL,Macon,16.2,18.4,33,36.3
01089,AL,Madison,13,11.5,33,36.3
01091,AL,Marengo,15.9,20.2,33,36.3
01093,AL,Marion,11.7,18.7,33,36.3
01095,AL,Marshall,11.5,12.8,33,36.3
01097,AL,Mobile,12.2,15.6,33,36.3
01099,AL,Monroe,13.5,17.8,33,36.3
01101,AL,Montgomery,12.7,13.5,33,36.3
01103,AL,Morgan,11,12.6,33,36.3
01105,AL,Perry,17.5,21.7,33,36.3
01107,AL,Pickens,14.9,16.4,33,36.3
01109,AL,Pike,12.9,13.5,33,36.3
01111,AL,Randolph,12.9,14.9,33,36.3
01113,AL,Russell,13.6,12.9,33,36.3
01115,AL,St. Clair,11.4,12.8,33,36.3
01117,AL,Shelby,8,8.7,33,36.3
01119,AL,Sumter,17.1,20.1,33,36.3
01121,AL,Talladega,13.6,15.3,33,36.3
01123,AL,Tallapoosa,14.3,13.7,33,36.3
01125,AL,Tuscaloosa,11.1,12.3,33,36.3
01127,AL,Walker,13.3,16.7,33,36.3
01129,AL,Washington,12.9,17.8,33,36.3
01131,AL,Wilcox,17.1,19.3,33,36.3
01133,AL,Winston,10,13.2,33,36.3
02013,AK,Aleutians East,5.5,7.6,25.7,34.2
02016,AK,Aleutians West,5.9,6.2,25.7,34.2
02020,AK,Anchorage,7,7,25.7,34.2
02050,AK,Bethel,5.5,5.8,25.7,34.2
02060,AK,Bristol Bay,6.8,8.5,25.7,34.2
02068,AK,Denali,6,5.8,25.7,34.2
02070,AK,Dillingham,7.8,7.2,25.7,34.2
02090,AK,Fairbanks North Star,5.2,5.5,25.7,34.2
02100,AK,Haines,6.6,7.9,25.7,34.2
02105,AK,Hoonah-Angoon,,7.3,25.7,34.2
02110,AK,Juneau,5.3,5.9,25.7,34.2
02122,AK,Kenai Peninsula,6.3,7.2,25.7,34.2
02130,AK,Ketchikan Gateway,7.2,8.9,25.7,34.2
02150,AK,Kodiak Island,6.2,6.6,25.7,34.2
02164,AK,Lake and Peninsula,7.2,7.4,25.7,34.2
02170,AK,Matanuska-Susitna,5.8,8.2,25.7,34.2
02180,AK,Nome,7.1,6,25.7,34.2
02185,AK,North Slope,7.1,6.5,25.7,34.2
02188,AK,Northwest Arctic,6.6,6.5,25.7,34.2
02195,AK,Petersburg,,7.1,25.7,34.2
02198,AK,Prince of Wales-Hyder,,7.3,25.7,34.2
02220,AK,Sitka,6.8,6.7,25.7,34.2
02230,AK,Skagway,,6.4,25.7,34.2
02240,AK,Southeast Fairbanks,6.3,6.9,25.7,34.2
02261,AK,Valdez-Cordova,6.2,7.4,25.7,34.2
02270,AK,Wade Hampton,6.4,4.6,25.7,34.2
02275,AK,Wrangell,,8.9,25.7,34.2
02282,AK,Yakutat,7.3,7.9,25.7,34.2
02290,AK,Yukon-Koyukuk,6.9,8.3,25.7,34.2
04001,AZ,Apache,13.6,14.4,26,29.5
04003,AZ,Cochise,8.4,10.3,26,29.5
04005,AZ,Coconino,7.1,7.6,26,29.5
04007,AZ,Gila,10.9,11.2,26,29.5
04009,AZ,Graham,9.1,10.3,26,29.5
04011,AZ,Greenlee,8.2,10.7,26,29.5
04012,AZ,La Paz,12,14.8,26,29.5
04013,AZ,Maricopa,7.4,9,26,29.5
04015,AZ,Mohave,11.1,12.8,26,29.5
04017,AZ,Navajo,12.9,13.1,26,29.5
04019,AZ,Pima,7.8,8.8,26,29.5
04021,AZ,Pinal,8.4,12.3,26,29.5
04023,AZ,Santa Cruz,6.3,8,26,29.5
04025,AZ,Yavapai,8,10.5,26,29.5
04027,AZ,Yuma,10,12.6,26,29.5
05001,AR,Arkansas,12.6,12.9,34.5,35
05003,AR,Ashley,11.3,14.5,34.5,35
05005,AR,Baxter,11.8,16,34.5,35
05007,AR,Benton,7.8,9.6,34.5,35
05009,AR,Boone,10.1,12.4,34.5,35
05011,AR,Bradley,12.2,13.1,34.5,35
05013,AR,Calhoun,12.6,13.7,34.5,35
05015,AR,Carroll,10.9,13,34.5,35
05017,AR,Chicot,14.7,15.2,34.5,35
05019,AR,Clark,10.1,11.6,34.5,35
05021,AR,Clay,12,11.1,34.5,35
05023,AR,Cleburne,11.9,13.5,34.5,35
05025,AR,Cleveland,11.8,13,34.5,35
05027,AR,Columbia,12,12.9,34.5,35
05029,AR,Conway,10.4,13.7,34.5,35
05031,AR,Craighead,10.1,13.1,34.5,35
05033,AR,Crawford,8.2,11.4,34.5,35
05035,AR,Crittenden,13.8,15.8,34.5,35
05037,AR,Cross,12.3,13.6,34.5,35
05039,AR,Dallas,13.6,14.4,34.5,35
05041,AR,Desha,13.3,15.1,34.5,35
05043,AR,Drew,10.6,13.6,34.5,35
05045,AR,Faulkner,9.3,11.2,34.5,35
05047,AR,Franklin,10.9,13.8,34.5,35
05049,AR,Fulton,11.4,15.6,34.5,35
05051,AR,Garland,10.2,14.5,34.5,35
05053,AR,Grant,9.4,11.1,34.5,35
05055,AR,Greene,9.6,12.9,34.5,35
05057,AR,Hempstead,13,13.5,34.5,35
05059,AR,Hot Spring,10.7,12.2,34.5,35
05061,AR,Howard,11.8,13.4,34.5,35
05063,AR,Independence,10.1,13.1,34.5,35
05065,AR,Izard,9.8,15.5,34.5,35
05067,AR,Jackson,11.4,12.9,34.5,35
05069,AR,Jefferson,12.5,15.4,34.5,35
05071,AR,Johnson,9.9,12.5,34.5,35
05073,AR,Lafayette,13.5,15.3,34.5,35
05075,AR,Lawrence,11.2,13.2,34.5,35
05077,AR,Lee,12.7,13.1,34.5,35
05079,AR,Lincoln,10.4,12.3,34.5,35
05081,AR,Little River,11.9,12.9,34.5,35
05083,AR,Logan,9.6,13.8,34.5,35
