FIPS,State,County,FOODINSEC_15_17,
01001,AL,Autauga,16.3,
01003,AL,Baldwin,16.3,
01005,AL,Barbour,16.3,
01007,AL,Bibb,16.3,
01009,AL,Blount,16.3,
01011,AL,Bullock,16.3,
01013,AL,Butler,16.3,
01015,AL,Calhoun,16.3,
01017,AL,Chambers,16.3,
01019,AL,Cherokee,16.3,
01021,AL,Chilton,16.3,
01023,AL,Choctaw,16.3,
01025,AL,Clarke,16.3,
01027,AL,Clay,16.3,
01029,AL,Cleburne,16.3,
01031,AL,Coffee,16.3,
01033,AL,Colbert,16.3,
01035,AL,Conecuh,16.3,
01037,AL,Coosa,16.3,
01039,AL,Covington,16.3,
01041,AL,Crenshaw,16.3,
01043,AL,Cullman,16.3,
01045,AL,Dale,16.3,
01047,AL,Dallas,16.3,
01049,AL,DeKalb,16.3,
01051,AL,Elmore,16.3,
01053,AL,Escambia,16.3,
01055,AL,Etowah,16.3,
01057,AL,Fayette,16.3,
01059,AL,Franklin,16.3,
01061,AL,Geneva,16.3,
01063,AL,Greene,16.3,
01065,AL,Hale,16.3,
01067,AL,Henry,16.3,
01069,AL,Houston,16.3,
01071,AL,Jackson,16.3,
01073,AL,Jefferson,16.3,
01075,AL,Lamar,16.3,
01077,AL,Lauderdale,16.3,
01079,AL,Lawrence,16.3,
01081,AL,Lee,16.3,
01083,AL,Limestone,16.3,
01085,AL,Lowndes,16.3,
01087,AL,Macon,16.3,
01089,AL,Madison,16.3,
01091,AL,Marengo,16.3,
01093,AL,Marion,16.3,
01095,AL,Marshall,16.3,
01097,AL,Mobile,16.3,
01099,AL,Monroe,16.3,
01101,AL,Montgomery,16.3,
01103,AL,Morgan,16.3,
01105,AL,Perry,16.3,
01107,AL,Pickens,16.3,
01109,AL,Pike,16.3,
01111,AL,Randolph,16.3,
01113,AL,Russell,16.3,
01115,AL,St. Clair,16.3,
01117,AL,Shelby,16.3,
01119,AL,Sumter,16.3,
01121,AL,Talladega,16.3,
01123,AL,Tallapoosa,16.3,
01125,AL,Tuscaloosa,16.3,
01127,AL,Walker,16.3,
01129,AL,Washington,16.3,
01131,AL,Wilcox,16.3,
01133,AL,Winston,16.3,
02013,AK,Aleutians East,11.6,
02016,AK,Aleutians West,11.6,
02020,AK,Anchorage,11.6,
02050,AK,Bethel,11.6,
02060,AK,Bristol Bay,11.6,
02068,AK,Denali,11.6,
02070,AK,Dillingham,11.6,
02090,AK,Fairbanks North Star,11.6,
02100,AK,Haines,11.6,
02105,AK,Hoonah-Angoon,11.6,
02110,AK,Juneau,11.6,
02122,AK,Kenai Peninsula,11.6,
02130,AK,Ketchikan Gateway,11.6,
02150,AK,Kodiak Island,11.6,
02164,AK,Lake and Peninsula,11.6,
02170,AK,Matanuska-Susitna,11.6,
02180,AK,Nome,11.6,
02185,AK,North Slope,11.6,
02188,AK,Northwest Arctic,11.6,
02195,AK,Petersburg,11.6,
02198,AK,Prince of Wales-Hyder,11.6,
02220,AK,Sitka,11.6,
02230,AK,Skagway,11.6,
02240,AK,Southeast Fairbanks,11.6,
02261,AK,Valdez-Cordova,11.6,
02270,AK,Wade Hampton,11.6,
02275,AK,Wrangell,11.6,
02282,AK,Yakutat,11.6,
02290,AK,Yukon-Koyukuk,11.6,
04001,AZ,Apache,17.4,
04003,AZ,Cochise,17.4,
04005,AZ,Coconino,17.4,
04007,AZ,Gila,17.4,
04009,AZ,Graham,17.4,
04011,AZ,Greenlee,17.4,
04012,AZ,La Paz,17.4,
04013,AZ,Maricopa,17.4,
04015,AZ,Mohave,17.4,
04017,AZ,Navajo,17.4,
04019,AZ,Pima,17.4,
04021,AZ,Pinal,17.4,
04023,AZ,Santa Cruz,17.4,
04025,AZ,Yavapai,17.4,
04027,AZ,Yuma,17.4,
05001,AR,Arkansas,13.1,
05003,AR,Ashley,13.1,
05005,AR,Baxter,13.1,
05007,AR,Benton,13.1,
05009,AR,Boone,13.1,
05011,AR,Bradley,13.1,
05013,AR,Calhoun,13.1,
05015,AR,Carroll,13.1,
05017,AR,Chicot,13.1,
05019,AR,Clark,13.1,
05021,AR,Clay,13.1,
05023,AR,Cleburne,13.1,
05025,AR,Cleveland,13.1,
05027,AR,Columbia,13.1,
05029,AR,Conway,13.1,
05031,AR,Craighead,13.1,
05033,AR,Crawford,13.1,
05035,AR,Crittenden,13.1,
05037,AR,Cross,13.1,
05039,AR,Dallas,13.1,
05041,AR,Desha,13.1,
05043,AR,Drew,13.1,
05045,AR,Faulkner,13.1,
05047,AR,Franklin,13.1,
05049,AR,Fulton,13.1,
05051,AR,Garland,13.1,
05053,AR,Grant,13.1,
05055,AR,Greene,13.1,
05057,AR,Hempstead,13.1,
05059,AR,Hot Spring,13.1,
05061,AR,Howard,13.1,
05063,AR,Independence,13.1,
05065,AR,Izard,13.1,
05067,AR,Jackson,13.1,
