State,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18
AL,0.7,0.9,-1.8,-18.8,-15.5,-12.3,-10.3,12.6,9.2,7,6.8,4,3.7,2,4.5,3.9,3.9,4.1
AK,2.6,1.7,-2.2,-36.5,-33.2,-24.5,-15.6,27.1,26.2,22.2,14.4,17.6,11.4,6.3,5.1,6.3,4.3,2
AZ,2,1.9,-0.8,-19.8,-20.6,-16.5,-13.7,16.7,21,16.7,15.7,8.7,5.6,5.9,6.7,5.3,4.4,1.2
AR,1.3,2.9,0.2,-15.9,-10.7,-10.1,-7.5,16.5,10.3,10.9,8.1,4.6,5,3.6,5.9,4.2,2.6,2.7
CA,2.1,2,-2.2,-35.2,-33.5,-34.1,-27.1,26.1,31.1,37,30.2,16.3,10.5,7,6,3.9,2.8,1.4
CO,2.3,1.5,-1,-29.8,-20.3,-28.7,-16.8,28.7,15.9,31.5,17.6,8.9,6.4,5.6,4.9,4.4,3.8,3.5
CT,-0.9,-1.6,-5,-40.2,-22.1,-25.6,-18.7,43.7,16.2,22.7,18.6,10.7,6,4,4.6,3.8,1.9,2.6
DE,2.8,2.3,-4.4,-30.7,-19.7,-20.8,-15.1,23.6,9.4,17.1,16,9.1,7.7,3.5,5,4.7,5.3,5.3
DC,2.4,2.9,-5.4,-57.4,-52.6,-54.2,-50.9,41,49.3,66.1,64.1,38.5,23.1,16.9,19.7,12.8,7.8,4.4
FL,1.7,2.5,-1.4,-27.3,-23.6,-18.4,-15.3,23.9,21.9,15.9,15,10,8.2,5.3,6.4,4.6,2.6,3
GA,1.6,2.6,-2.7,-22.4,-18.1,-15.2,-11.3,17.1,11.5,9.1,8.9,7,7.5,6.8,7,4.5,4,2.8
HI,2.7,1.7,-1.6,-52.1,-59.1,-41.5,-34.8,62.5,96.8,42,31.5,12.7,12.1,9.6,9.5,6.9,0,1.4
ID,4.4,3.6,2,-12,-6.9,-7.1,-2.8,14.7,9.9,11.8,9.5,4.8,3.2,3.8,3.7,6.9,5.5,5.7
IL,0.6,1.5,-3.1,-39.1,-26,-35.2,-23,33.6,15.7,34.9,19.3,11.8,7.7,5.2,6.8,5.4,4.2,3.6
IN,0.7,1.2,-3.6,-21.8,-14.2,-15.6,-10.8,15.8,7.9,11.7,10.5,7.5,5.5,4,4.3,3.3,2.3,1.3
IA,0.6,0.7,-1.4,-23.7,-17,-18.6,-13.3,16.9,10.7,12.9,10.9,6.4,4.3,3.3,2.7,3.3,2.6,2.8
KS,0.1,0.5,-2.4,-19.4,-14.2,-13.9,-8.9,15.7,9.7,10.9,8.8,4.3,6.4,4.1,5.9,5.2,3.2,2.3
KY,1.7,2.5,-1.9,-24.5,-16.6,-21.8,-11.3,20,10.7,20.1,11.8,7,6.8,4.7,4.9,4,2.6,2.8
LA,0.2,0.7,-2.9,-28.9,-25.3,-19.2,-15.6,19.5,7,8.4,8.8,5.1,14.1,4.5,5.4,3.9,1.9,2.3
ME,1.4,1.8,-2.6,-39.7,-23,-25.5,-17.4,42.4,16.9,21.2,14.9,8,5.1,3.8,4.7,6.2,3.5,4.1
MD,-0.8,0.3,-4.1,-40,-24.4,-25.3,-21.2,35.3,13.9,17,15.2,7.5,4,2.2,6,6.8,4.8,4.4
MA,1,2.2,-4.7,-48.4,-30.9,-34.5,-27.6,51.6,22.1,30.8,29.3,16.6,8.9,5.8,5.5,4,3.3,4.3
MI,0.2,0.2,-4.2,-34.1,-22.1,-38.7,-19.8,25.6,11.7,44.7,17.3,12.2,7.3,6,5.6,5.9,4.7,3.3
MN,0.3,1,-2.4,-34.6,-24.2,-42.5,-21.4,27.4,14.7,54.6,18.8,12.2,7.8,5.8,5.6,5,4.9,2.4
MS,1.3,1.6,-0.8,-18.6,-13.1,-10.4,-7.9,13,7.6,6,6.2,5.4,4.6,2.9,2.5,1.6,0.8,0.6
MO,0.4,1.4,-1.3,-25.3,-17.2,-19.1,-13.5,19.9,11.8,15.2,11.7,8,6,4.1,5.5,4.4,2.7,2.9
MT,1,0.9,0.3,-17,-9.6,-9.5,-4.6,18.5,10.8,13.1,10.1,6.7,5.3,4,4.2,3.4,2.6,1.7
NE,1.2,1.4,-1.5,-22.9,-14.2,-15,-9.6,21.6,8.4,11.8,9.1,4.2,7.3,5,5.1,5.3,4.8,3.9
NV,0.6,0.3,-2.1,-39.2,-31.2,-30.4,-26.4,36.8,27.9,29.5,26.1,12.9,8.3,6.3,4.8,3.7,2.4,4.5
NH,1.4,0.9,-2.5,-35.5,-16.3,-21.3,-14.2,38.1,10.8,16.4,13.5,8.3,6,7,4.8,5.3,3.2,3.8
NJ,0,1.5,-2.3,-50.2,-26.9,-26.5,-22,67.1,20.9,23.4,22.7,15.1,9.8,7.5,7,6.1,4.7,3.9
NM,2.2,2.5,-0.7,-26.6,-22.7,-31.3,-20.7,21.1,19.7,34.1,20.5,7.5,4.8,5,5.9,6.8,2.9,2.5
NY,-0.1,-0.3,-5.6,-51.5,-36.3,-37.6,-30.4,54.8,27.8,36.8,32,20.3,12.8,7.9,7.9,5.9,4.2,3.7
NC,3.8,3.4,-1.1,-25.7,-18.5,-16.7,-13.5,20,11.3,11.4,11.6,9.5,8.5,6.2,7.3,6.1,5.2,5.4
ND,0.4,-1.3,-2.1,-20,-13.8,-16.8,-8.8,14.7,8.5,13.8,7.6,6,3.7,1.5,2.6,1.9,2.5,4.6
OH,-0.2,1,-2.3,-23.1,-17,-19,-13.3,15.9,10.3,13.3,10.8,7.1,4.5,4.4,5.3,4.6,4,2.8
OK,1.9,1.8,-1.5,-11.8,-10.2,-9.3,-5.6,9.8,7,7.4,5.1,3.6,4.5,3.4,6.3,4,2.8,2.9
OR,1.2,0.9,-1.2,-33,-25.3,-34.5,-23,22.2,16.8,35.5,20.9,12.4,7.6,5.8,5.8,5.6,3.2,1.6
PA,1.1,1.5,-3.3,-40.3,-25.8,-29.6,-20.3,38.6,16.6,26.2,18.4,12.5,9,5.9,5.7,5.2,3.7,3.3
RI,1.2,2.1,-2.9,-36.6,-21,-31.9,-18,36.8,13.1,34.4,19.9,11.1,7.7,3.8,3.3,3.4,4.1,4.1
SC,4.5,2.7,-1.2,-20.4,-16.5,-13.3,-10.2,13.8,11.4,9.3,9.9,7.5,6.1,5.9,6.5,4.8,4.5,3.7
SD,-0.2,1.4,-1.7,-19.8,-10.9,-13.2,-6.2,20.8,10.8,12.8,12,4.5,3.7,2.2,1.8,2.8,2.4,3.9
TN,3.1,2.2,-0.5,-21.4,-17.5,-15.2,-12.7,16,12.8,10.6,12.1,8.8,7.8,7.3,6.8,5.4,4.2,3.7
TX,3,2.8,-0.5,-20,-17.8,-13.9,-10.5,16.6,15.4,12.7,11.4,8.2,7.4,5.4,7.2,5.8,4.3,4
UT,2.8,2.6,-0.2,-18.6,-13.5,-11.8,-7.2,20.4,13.7,13.3,12.4,8.1,8.9,8.2,6.9,6.5,5.3,3
VT,-0.2,-2.2,-5.2,-47.9,-29.4,-33.5,-25.8,54.6,19.9,26.5,22,11.7,5.3,8.6,6,6.7,4.3,3.6
VA,0.2,0.7,-1.6,-34,-20.2,-19.8,-17.5,30.6,13.7,14,14.1,9.3,6.4,5.8,6.6,6.5,4.8,3.7
WA,1.6,1,-2.4,-35.6,-28.2,-35.2,-23.9,26.4,21.2,38.1,24.9,15,9.4,7.3,6.2,6.3,4.3,3.8
WV,1.4,0.1,-3.4,-24.2,-16.1,-15.4,-10.7,18.4,8.9,11.2,8.5,3.8,1.8,0,2.4,3.2,2.1,1.5
WI,0.7,1.4,-1.9,-26.2,-18.5,-21.8,-15.7,19.5,11,15.4,11.9,6.1,4.9,4.1,5.3,6.8,4.7,5.1
WY,3,3.6,0.5,-21.4,-11.9,-9.1,-5.3,24.2,10.3,9.5,7.9,3.8,3.6,2.5,2,2.2,2,-0.3
