StAb,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
AL,95.8,97.3,98.7,97.2,92.7,97.1,98.4,98.8,98.9,98.7,98.6,98.2,97.2,89.3,96.4,95.7,95.6,95.7,94,86.9,70.8,87.8,85.5
AK,91.6,94.1,94.2,93.2,88.5,97.1,96.1,97.6,97,96.8,95.9,95.4,96.2,88,94.5,93.6,93.6,91.8,90.6,83.5,75.9,82.1,81.9
AZ,93,95.5,97.8,97.2,93.8,99,98.3,98.5,98.3,98.4,97.3,97.4,97.2,89.5,96.4,96.1,94.1,92.5,89.6,82.8,67.6,82.1,81.7
AR,96.5,97.9,98.9,97.8,92.6,98.1,97.7,98.2,97.6,98,97.8,98.4,97.8,90.1,97.2,96.3,95.2,95.3,94.3,88.6,73.3,89,87.2
CA,94.3,96,97.3,95.9,92.6,97.2,97.1,97.3,97.7,97.8,97.6,97.5,97.5,90.2,97.2,95.9,94.4,93.8,93.1,86.5,69.9,87.1,88.3
CO,95.4,96.6,98,97.6,94.3,98.6,97.9,98,98.5,98.5,98.1,98.1,97.9,90.3,96.6,96.2,95.5,93.6,91.1,84.9,76.1,87.3,83.3
CT,94.8,95.8,97.2,96.7,92.7,97.1,96.8,96.6,96.9,97,96.1,96.1,95.6,89,96.4,96.1,95.7,94.1,92.8,86.8,75.2,84.3,83
DE,94.6,96.6,97.3,97,92.7,97.1,97.2,95.8,94.5,96.3,95.3,96.2,94.8,90.4,96.6,96.1,95.6,95.8,94.7,85.5,72.4,86.6,85.5
DC,90.8,90,92.3,88.5,84.2,92.3,91.1,91.7,91.4,94.9,95.4,93.1,93.3,87.4,93.4,89.5,90.2,89,85.4,75.4,65.8,76.1,70
FL,95.7,96.9,97.9,97.5,93.6,96.8,97.4,98.3,99.1,99.1,98.9,98.8,98.3,90.8,97.6,96.1,95.3,94,92.6,86.6,69.6,86.2,84.9
GA,95.5,97.2,98.3,97.2,92.1,96.1,98.2,98.1,97.8,97.6,97.2,97.1,96.1,89,95.4,94.3,94.1,92.7,89.9,82.1,63.1,81.5,79.1
HI,94.9,97.5,98.1,95.7,92.8,97.8,97.8,97.3,97.6,98.3,98.1,98.7,98.2,89.9,97.6,96.6,95.4,95.3,93.2,85.4,73,86,89.6
ID,96.4,97.2,98.9,96.6,93.5,98.2,97.5,97.8,97.7,97.7,97,97.6,97,90.3,96.9,95.7,94.8,94.9,94.3,89.8,79.5,92.7,89.7
IL,94.7,96.4,97.8,96.9,93.6,97.6,97.7,98.1,98.4,98.6,98.1,98.1,97.2,90,96.7,96.2,94.7,93.6,90.7,85.3,72.2,84.6,83.4
IN,96.8,97.2,98.5,98.1,94.6,98.9,98.8,99,99.3,99.4,99,99,98.6,91,98.2,97.5,96,95.1,93.7,88.9,72.4,87.1,86.1
IA,96.8,98.3,98.3,98.2,95.6,99.1,98.9,99.1,99.1,99.3,98.9,99,98.8,91.4,98.1,97.3,97.2,97.5,97.5,92,84.8,91.9,88.4
KS,96.6,97.7,98.9,98.2,95.1,98.7,98.3,98,97.6,98.4,98,98.5,98.2,91,97.6,97,95.9,95.3,93.9,88.7,77.8,86.7,85
KY,96,97.9,98.3,97.5,93.5,98.6,97.9,98,98,98.1,97.7,98,97.6,90.6,98,96.9,95.9,95.2,94.1,88.2,73.3,87.6,85.2
LA,95.3,96.8,96.8,96.6,92.1,96.1,97.2,97,97.2,97.6,96.3,96.6,97.5,89.5,96.9,95.2,94.8,93.9,91.3,84.4,66.1,84.5,82.8
ME,95.2,97.8,97.9,97.2,92.1,97.4,97.5,96.8,97.2,97.9,97.5,97,96.9,88.2,95.7,94.8,92.7,92.4,90.5,84.9,74,84.4,82.8
MD,94.7,95.9,96.5,94.7,90.5,94.1,94.3,94.6,95.8,95.8,94.6,96.5,95.5,89,95.8,94.4,93.4,90.7,88.2,81.2,70.5,82.8,81
MA,93.8,95.7,97.6,96.5,93.2,96.5,96.8,96.3,96.9,96.7,96.4,96.7,96.7,89.4,95.9,95.6,94.9,93.1,91.5,85.8,75.6,89.2,88.7
MI,95.8,97.7,98.4,97.9,94.4,98.1,98.3,98.4,98.7,98.6,98.4,98.2,98,90.7,96.8,96.6,95.7,95.5,93.8,89.2,72.5,87.3,86.6
MN,97.3,98,98.9,98.3,95.4,98.6,98.4,98.5,98.9,98.9,98.4,98.5,98.2,90.8,97.9,98,96.8,96.6,95.4,90.8,78.9,89.2,88.4
MS,95.3,96.7,97.5,96.4,91.1,97,97.3,97.4,96.7,97,96.7,96.8,96.8,88.9,96.7,94.2,94.3,94.7,93.5,86.2,69.1,85.8,83.7
MO,96.8,98.4,98.8,98.5,94.8,98.8,98.3,98.4,98.1,98.3,97.6,98.3,97.5,90.2,96.6,95.9,94.7,94,91.2,86.3,70.6,87.2,86.7
MT,95.7,96.8,98.7,97.2,94,99.2,98.7,98.7,98.5,98.3,98.2,98.8,97.6,90,96.3,95.8,93,92.3,91,86.8,80.2,86.7,86.2
NE,97,97.3,98.8,98.3,94.8,98.9,98.4,98.1,98.6,98.2,98.4,98.1,97.9,91,97.4,97.5,96.8,95.9,93.8,87.8,77.9,87.9,86
NV,95.4,96.2,97.3,95.9,92.1,98.3,97.8,97.3,98.2,98.4,97.7,97.5,96.4,88.5,95.7,94.4,92.6,92.3,92.2,87.1,71.5,87.8,86
NH,94.2,97.2,98,95.8,93,97.5,96.4,96.7,97.4,97.9,97.1,97.1,96.3,89.7,95.7,94.4,94.1,94.3,93.7,89.1,81.1,88.6,88.9
NJ,93.4,95.4,96.3,94.9,91.9,96.1,96.3,96.1,96.5,96.7,96.5,96.9,95.9,88.6,95.6,94.8,92.3,88.4,83.6,80.3,65.6,77.5,76.1
NM,96.3,97,98.2,96.1,92.5,97.8,97.9,97.7,98.4,97.3,97.4,96.9,97.6,89.1,95.3,95.3,94.4,93.1,90.7,83.3,63.2,75.9,77.4
NY,92.4,94.9,96.3,95,91.4,95.2,95.9,95.9,96,96.5,95.9,95.7,95.3,87.5,94.1,93.9,92.5,90.3,87.5,81.2,68.2,76.7,78.5
NC,95.7,97.4,98.2,96.3,92.5,97.8,97.8,97.9,98,98.6,98.4,98.1,97.7,90,96.9,96.1,95.6,95.6,93.6,88.5,71.6,88.1,86.8
